detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
2956,417,610062,,,蒜蓉生蚝,0,1,49,,2016/8/111:05:00,,,,0,,,caipu/104001.jpg,1442
1899,301,610019,,,白斩鸡,0,1,88,,2016/8/111:15:00,,,,0,,,caipu/204002.jpg,1095
2916,413,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/112:42:00,,,,0,,,caipu/101001.jpg,1147
2938,415,609964,,,避风塘炒蟹,0,1,48,,2016/8/112:51:00,,,,0,,,caipu/102004.jpg,1166
2643,392,609930,,,豌豆薯仔猪骨汤,0,1,39,,2016/8/112:58:00,,,,0,,,caipu/203001.jpg,1094
2535,381,609996,,,牛尾汤,0,1,40,,2016/8/113:13:00,,,,0,,,caipu/201006.jpg,1243
3059,429,609968,,,油焖麻辣虾,0,1,65,,2016/8/113:17:00,,,,0,,,caipu/101003.jpg,1452
3116,433,609978,,,爆炒鳝碌,0,1,55,,2016/8/113:38:00,,,,0,,,caipu/106003.jpg,1109
4509,569,609963,,,盘蟹蒸蛋,0,2,55,,2016/8/117:06:00,,,,0,,,caipu/102003.jpg,1143
5453,655,609968,,,油焖麻辣虾,0,1,65,,2016/8/117:32:00,,,,0,,,caipu/101003.jpg,1268
4586,577,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/117:37:00,,,,0,,,caipu/101001.jpg,1150
5143,622,610043,,,肉丁茄子,0,1,39,,2016/8/117:40:00,,,,0,,,caipu/305002.jpg,1220
5428,651,610039,,,培根紫菜卷,0,1,30,,2016/8/118:12:00,,,,0,,,caipu/105003.jpg,1593
5875,694,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/118:27:00,,,,0,,,caipu/101001.jpg,1122
3461,462,609935,,,山药养生粥,0,1,19,,2016/8/118:45:00,,,,0,,,caipu/602001.jpg,1187
3411,458,610063,,,蒜香辣花甲,0,1,45,,2016/8/119:27:00,,,,0,,,caipu/104002.jpg,1455
3516,467,609970,,,麻辣小龙虾,0,1,99,,2016/8/119:40:00,,,,0,,,caipu/101006.jpg,1213
4435,562,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/119:44:00,,,,0,,,caipu/101001.jpg,1552
3715,486,609970,,,麻辣小龙虾,0,1,99,,2016/8/120:31:00,,,,0,,,caipu/101006.jpg,1156
4027,517,609943,,,剁椒鱼头,0,1,55,,2016/8/121:11:00,,,,0,,,caipu/103004.jpg,1008
3356,452,609944,,,水煮鱼,0,1,65,,2016/8/121:19:00,,,,0,,,caipu/103005.jpg,1114
3301,448,610008,,,五色糯米饭(七色),0,1,35,,2016/8/121:37:00,,,,0,,,caipu/601002.jpg,1449
1056,193,609981,,,桂圆枸杞鸽子汤,0,1,48,,2016/8/211:20:00,,,,0,,,caipu/205001.jpg,1084
857,166,609944,,,水煮鱼,0,1,65,,2016/8/211:24:00,,,,0,,,caipu/103005.jpg,986
2213,342,609941,,,清蒸海鱼,0,1,78,,2016/8/211:58:00,,,,0,,,caipu/103002.jpg,1450
1646,260,609965,,,葱姜炒蟹,0,1,109,,2016/8/212:37:00,,,,0,,,caipu/102005.jpg,990
2363,367,609970,,,麻辣小龙虾,0,1,99,,2016/8/212:58:00,,,,0,,,caipu/101006.jpg,1119
2376,368,606106,,,铁板牛肉,0,1,66,,2016/8/213:13:00,,,,0,,,/jsp/pc/images/606106.jpg,1125
2350,365,609944,,,水煮鱼,0,1,65,,2016/8/213:21:00,,,,0,,,caipu/103005.jpg,992
891,171,609968,,,油焖麻辣虾,0,1,65,,2016/8/213:51:00,,,,0,,,caipu/101003.jpg,1463
5247,631,610039,,,培根紫菜卷,0,1,30,,2016/8/217:57:00,,,,0,,,caipu/105003.jpg,1188
5409,650,609934,,,芹菜炒腰花,0,1,18,,2016/8/218:20:00,,,,0,,,caipu/203005.jpg,1212
6316,734,609941,,,清蒸海鱼,0,1,78,,2016/8/218:23:00,,,,0,,,caipu/103002.jpg,1278
4295,548,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/218:55:00,,,,0,,,caipu/101001.jpg,1103
4570,574,609943,,,剁椒鱼头,0,1,55,,2016/8/219:00:00,,,,0,,,caipu/103004.jpg,1115
6141,719,609957,,,蒙古烤羊腿,0,1,48,,2016/8/219:24:00,,,,0,,,caipu/202003.jpg,1162
4679,585,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/220:17:00,,,,0,,,caipu/101001.jpg,1181
5047,613,609941,,,清蒸海鱼,0,1,78,,2016/8/221:01:00,,,,0,,,caipu/103002.jpg,1451
5815,688,609944,,,水煮鱼,0,1,65,,2016/8/221:05:00,,,,0,,,caipu/103005.jpg,1157
3747,491,609991,,,香烤牛排,0,1,55,,2016/8/221:38:00,,,,0,,,caipu/201001.jpg,1169
3093,432,609963,,,盘蟹蒸蛋,0,1,55,,2016/8/312:52:00,,,,0,,,caipu/102003.jpg,1175
941,177,610063,,,蒜香辣花甲,0,1,45,,2016/8/312:56:00,,,,0,,,caipu/104002.jpg,1141
2049,320,609970,,,麻辣小龙虾,0,1,99,,2016/8/313:03:00,,,,0,,,caipu/101006.jpg,1538
2004,317,609942,,,辣炒鱿鱼,0,1,58,,2016/8/313:07:00,,,,0,,,caipu/103003.jpg,1091
1766,281,609967,,,香酥两吃大虾,0,1,89,,2016/8/313:51:00,,,,0,,,caipu/101002.jpg,997
754,137,610047,,,西瓜胡萝卜沙拉,0,1,26,,2016/8/314:01:00,,,,0,,,caipu/301001.jpg,1248
5631,670,609970,,,麻辣小龙虾,0,1,99,,2016/8/317:16:00,,,,0,,,caipu/101006.jpg,1570
6775,776,610017,,,酸辣藕丁,0,1,33,,2016/8/317:34:00,,,,0,,,caipu/302006.jpg,1204
3770,492,609970,,,麻辣小龙虾,0,1,99,,2016/8/318:22:00,,,,0,,,caipu/101006.jpg,1129
5061,615,609969,,,香辣腐乳炒虾,0,1,56,,2016/8/318:52:00,,,,0,,,caipu/101004.jpg,1261
6506,749,609970,,,麻辣小龙虾,0,1,99,,2016/8/319:47:00,,,,0,,,caipu/101006.jpg,1139
3727,488,609970,,,麻辣小龙虾,0,1,99,,2016/8/320:08:00,,,,0,,,caipu/101006.jpg,1110
6729,773,610039,,,培根紫菜卷,0,1,30,,2016/8/320:45:00,,,,0,,,caipu/105003.jpg,1193
5513,660,609967,,,香酥两吃大虾,0,1,89,,2016/8/320:49:00,,,,0,,,caipu/101002.jpg,1116
5100,619,609970,,,麻辣小龙虾,0,1,99,,2016/8/320:58:00,,,,0,,,caipu/101006.jpg,1124
5398,649,609976,,,芹黄鳝丝,0,1,58,,2016/8/321:25:00,,,,0,,,caipu/106001.jpg,1557
1888,302,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/411:06:00,,,,0,,,caipu/101001.jpg,1458
