,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,amounts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts,counts
1026,,5.0,,,,,,,,,,,,52.0,,,,,,,,27.0,,58.0,,,,,,,,,,,,45.0,88.0,,,,,88.0,,,,,,,32.0,,,48.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,35.0,,,,,,,1.0,,,,,,,,,,,,19.0,39.0,48.0,175.0,,,,58.0,,,,48.0,,,,,,,38.0,,,,,,,58.0,,,,,30.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
1027,,,,,,,,,,,,,,,,,6.0,,15.0,,,27.0,,,55.0,,,,,,,30.0,,,,,,15.0,,,,,18.0,,,,,,,,,,,,65.0,,,,,15.0,,,,,,35.0,,,,,,,,,,,,,,,,,,,6.0,,178.0,16.0,,,,48.0,,,,,,,,25.0,37.0,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,39.0,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0
1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,30.0,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,45.0,88.0,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,35.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,58.0,,,,,30.0,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,88.0,,,,,,,,,,,,,65.0,,,,30.0,,,,29.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,16.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,28.0,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,
1053,,,,,,,,,,,,,,,,,6.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,30.0,30.0,,,,,58.0,,,,,,,,20.0,,,,,,,,,,,,1.0,,,,,55.0,,,,,,,,,,,25.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,55.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1070,,,,,,,,,,,,,35.0,,,,,,,,,27.0,,,,,,,7.0,,,,,,,,88.0,,,,,,18.0,,,,,25.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,175.0,25.0,,,,,,,48.0,,,,9.0,,,38.0,39.0,,,,,,,,,,,,,,,,,55.0,,,,,,,,,99.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
1082,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,13.0,,,,,,,,,,,,30.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,25.0,,,,,,,48.0,,,,,8.0,26.0,,,,,,,,58.0,48.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
1096,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,45.0,88.0,,,,,,,,,,,,,,,,,,65.0,,58.0,,,,,,,,,,,,,,,,,,35.0,,35.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,55.0,33.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,35.0,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,56.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1109,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,40.0,,,,,,,,33.0,,,,,1.0,,,,,55.0,,,,,8.0,,,,,175.0,25.0,,,,,,,,,,,,,26.0,,,,,,35.0,,,,,,,,,,,7.0,,,,39.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,7.0,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,4.0,,,,1.0,,,1.0,,,,,,,,
